rank,geartype,name,mmsi,flag,port,km,near,dist_agree,delta,kn,h,vend,fish,vid,flag_gfw,flag_greatcircle
0.1038,INCONCLUSIVE,JONAS,634127000,KEN,mombasa,114.9,104.6,DIFFER,0.0896,9.9,6.3,2023-09-02T20:36:41.000Z,2023-09-03T02:53:02.000Z,511297fd0-0843-576c-1fa5-a380f80ec01d,TFCCTF{634127000_mombasa_03.09.2023_02:53_AM_104.6},TFCCTF{634127000_mombasa_03.09.2023_02:53_AM_114.9}
0.1034,SET_LONGLINES,SHIN MINGSHIUNG NO16,416004164,TWN,keelung,160.6,147.6,DIFFER,0.0805,6.8,12.7,2023-09-06T00:00:15.000Z,2023-09-06T12:43:44.000Z,051021f3b-b3e0-4b09-00e7-8dbeff97f6c2,TFCCTF{416004164_keelung_06.09.2023_12:43_PM_147.6},TFCCTF{416004164_keelung_06.09.2023_12:43_PM_160.6}
0.1022,FISHING,YUEJIANGCHENGYU95159,412477929,CHN,yangjiang,134.2,122.3,DIFFER,0.089,8.9,8.2,2023-09-05T03:11:29.000Z,2023-09-05T11:21:00.000Z,a3f0f16d6-6125-40a7-d487-d72351c34b63,TFCCTF{412477929_yangjiang_05.09.2023_11:21_AM_122.3},TFCCTF{412477929_yangjiang_05.09.2023_11:21_AM_134.2}
0.0987,DRIFTING_LONGLINES,GOLDEN EAGLE,367132820,USA,honolulu,829.7,759.5,DIFFER,0.0846,7.3,61.0,2023-09-08T00:29:43.000Z,2023-09-10T13:30:48.000Z,ccac2589b-b1d2-0c3f-0526-2372a630baa9,TFCCTF{367132820_honolulu_10.09.2023_01:30_PM_759.5},TFCCTF{367132820_honolulu_10.09.2023_01:30_PM_829.7}
0.0961,SET_LONGLINES,25258,412213422,CHN,longyan,101.8,93.3,DIFFER,0.0829,7.0,7.9,2023-09-26T11:50:53.000Z,2023-09-26T19:44:36.000Z,884800e88-85c7-d2aa-08a5-e1a983858ada,TFCCTF{412213422_longyan_26.09.2023_07:44_PM_93.3},TFCCTF{412213422_longyan_26.09.2023_07:44_PM_101.8}
0.096,DRIFTING_LONGLINES,ALGAMAR,263413870,PRT,vigo,706.1,644.8,DIFFER,0.0869,7.8,49.1,2023-09-06T16:25:05.000Z,2023-09-08T17:28:15.000Z,50cdece66-6d94-35db-1d40-d32427c82a47,TFCCTF{263413870_vigo_08.09.2023_05:28_PM_644.8},TFCCTF{263413870_vigo_08.09.2023_05:28_PM_706.1}
0.0948,SET_LONGLINES,CAPTAIN ALEX,367754830,USA,honolulu,707.9,654.3,DIFFER,0.0756,6.1,62.5,2023-09-07T08:37:46.000Z,2023-09-09T23:09:42.000Z,3e5a96c4a-a3e7-a8da-d246-8bda2a791a4b,TFCCTF{367754830_honolulu_09.09.2023_11:09_PM_654.3},TFCCTF{367754830_honolulu_09.09.2023_11:09_PM_707.9}
0.0923,DRIFTING_LONGLINES,XIN FA HAO,416000727,TWN,shen ao,163.9,151.2,DIFFER,0.0775,6.2,14.2,2023-09-05T22:55:06.000Z,2023-09-06T13:08:06.000Z,a84ec470e-e946-b3ba-7eda-263499af2351,TFCCTF{416000727_shen ao_06.09.2023_01:08_PM_151.2},TFCCTF{416000727_shen ao_06.09.2023_01:08_PM_163.9}
0.0917,TRAWLERS,GUIBEIYU88062,412502368,CHN,zhuhai,102.8,112.9,DIFFER,0.0892,11.6,4.8,2023-09-04T06:11:44.000Z,2023-09-04T10:58:42.000Z,d04f42002-248a-b583-a30c-adca81f36fac,TFCCTF{412502368_zhuhai_04.09.2023_10:58_AM_112.9},TFCCTF{412502368_zhuhai_04.09.2023_10:58_AM_102.8}
0.0894,TROLLERS,RESOLUTE,368040810,USA,ruby island,63.7,69.5,DIFFER,0.0838,6.9,5.0,2023-09-09T01:40:57.000Z,2023-09-09T06:39:17.000Z,29b800ebe-e1b1-1d21-10f2-81cabe585b79,TFCCTF{368040810_ruby island_09.09.2023_06:39_AM_69.5},TFCCTF{368040810_ruby island_09.09.2023_06:39_AM_63.7}
