score,story,tail_score,name,tail,tail_why,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,gap_h,kn,km_calc,km_gfw,dkm,exact1dp,fish_start,src,vid,flag_calc,flag_gfw
0.0047,0.0086,0.55,907 NAM YANG,M YANG,"wide glyph, wrong index",440129930,KOR,SET_GILLNETS,SEOGWIPO,26,2,144,22.06,7.19,293.8,288.2,5.6,no,2023-09-03T04:40:08,agent8-fill,7a3c4f875-571b-bab6-72a2-edd6b25accf3,TFCCTF{440129930_seogwipo_03.09.2023_04:40_AM_293.8},TFCCTF{440129930_seogwipo_03.09.2023_04:40_AM_288.2}
0.0047,0.0047,1.0,WILDCHILD,DCHILD,wide glyph at index 1-2,339261000,JAM,TUNA_PURSE_SEINES,CHATHAM,8,4,8,19.89,7.3,269.1,255.0,14.1,no,2023-09-04T17:16:32,agent8-fill,e585004c4-4583-5041-ff17-7990f2789aff,TFCCTF{339261000_chatham_04.09.2023_05:16_PM_269.1},TFCCTF{339261000_chatham_04.09.2023_05:16_PM_255.0}
0.0047,0.0212,0.22,IMULA 0698 NBO,98 NBO,"wide glyph, wrong index, digits in tail",417069831,LKA,DRIFTING_LONGLINES,COLOMBO,2,2,2,9.08,8.6,144.6,134.2,10.4,no,2023-09-03T08:26:38,longline-slice,b4050e6ab-b23b-740b-f6a5-95b514d514e0,TFCCTF{417069831_colombo_03.09.2023_08:26_AM_144.6},TFCCTF{417069831_colombo_03.09.2023_08:26_AM_134.2}
0.0047,0.0212,0.22,YUEHUILAIYU43439,U43439,"wide glyph, wrong index, digits in tail",412466307,CHN,TRAWLERS,SHENQUAN,5,2,56,5.78,6.79,72.7,65.7,7.0,no,2023-09-06T06:11:04,trawler-slice,229ae9e3e-eb4f-f62a-ed0a-d26ee754fb36,TFCCTF{412466307_shenquan_06.09.2023_06:11_AM_72.7},TFCCTF{412466307_shenquan_06.09.2023_06:11_AM_65.7}
0.0047,0.0213,0.22,YUEHUILAIYU43492,U43492,"wide glyph, wrong index, digits in tail",412466416,CHN,TRAWLERS,SHENQUAN,6,2,53,4.41,7.6,62.1,55.9,6.2,no,2023-09-05T18:14:33,trawler-slice,8f41f788b-b35d-9bb8-1f1d-ed1d42327d7e,TFCCTF{412466416_shenquan_05.09.2023_06:14_PM_62.1},TFCCTF{412466416_shenquan_05.09.2023_06:14_PM_55.9}
0.0046,0.0229,0.2,FV MAVERICK,VERICK,no wide glyph,512009866,NZL,OTHER_PURSE_SEINES,BLUFF,11,3,41,4.58,8.95,76.0,77.6,1.6,no,2023-09-01T06:52:05,agent8-fill,0741fe3e1-1581-c3cf-9af7-a3380cf840c0,TFCCTF{512009866_bluff_01.09.2023_06:52_AM_76.0},TFCCTF{512009866_bluff_01.09.2023_06:52_AM_77.6}
0.0046,0.0576,0.08,IMULA 1075GLE,075GLE,"no wide glyph, digits in tail",417107591,LKA,SET_LONGLINES,GALLE,3,3,11,5.02,6.25,58.1,58.8,0.7,no,2023-09-10T20:01:02,longline-slice,b9c77cc5b-b976-96cd-468c-01f2d79be361,TFCCTF{417107591_galle_10.09.2023_08:01_PM_58.1},TFCCTF{417107591_galle_10.09.2023_08:01_PM_58.8}
0.0045,0.0224,0.2,EHANGA BAY,GA BAY,no wide glyph,659398000,NAM,TRAWLERS,WALVIS BAY,12,2,102,9.67,9.37,167.9,164.7,3.2,no,2023-09-04T01:34:05,trawler-slice,b8197090b-b53f-05ca-d890-9a8bfcd6af18,TFCCTF{659398000_walvis bay_04.09.2023_01:34_AM_167.9},TFCCTF{659398000_walvis bay_04.09.2023_01:34_AM_164.7}
0.0044,0.0111,0.4,TOKUEIMARU NO.17, NO.17,"wide glyph at index 1-2, digits in tail",431410000,JPN,POLE_AND_LINE,KESENNUMA,7,1,137,32.37,9.38,562.4,542.8,19.6,no,2023-09-05T17:07:41,agent8-fill,d194ecbab-bd7c-ea1c-6cb9-0d9875939595,TFCCTF{431410000_kesennuma_05.09.2023_05:07_PM_562.4},TFCCTF{431410000_kesennuma_05.09.2023_05:07_PM_542.8}
0.0044,0.0111,0.4,HUA NAN YU 769,YU 769,"wide glyph at index 1-2, digits in tail",412467334,CHN,DRIFTING_LONGLINES,MAJURO,9,6,155,40.37,6.55,489.3,489.8,0.5,no,2023-09-04T19:10:04,longline-slice,cf47cb206-6d35-110b-5ecc-0ea42fa5cc99,TFCCTF{412467334_majuro_04.09.2023_07:10_PM_489.3},TFCCTF{412467334_majuro_04.09.2023_07:10_PM_489.8}
