score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
0.27375,JPTTAIZHOUXINLUO,XINLUO,0,300820019,,TRAWLERS,shidao,117.8,27.0,10.7,6.0,bb3e3dd9d-d8f7-4918-0112-be06d3c06b4b,TFCCTF{300820019_shidao_01.09.2023_11:26_AM_27.0},TFCCTF{300820019_shidao_01.09.2023_11:26_AM_117.8}
0.27125,FISKEBAS,SKEBAS,9646998,257135000,NOR,OTHER_PURSE_SEINES,floro,204.1,99.7,8.2,13.4,c52cc3aa7-72ea-10e1-084f-cc2a0b9e3969,TFCCTF{257135000_floro_08.09.2023_09:46_PM_99.7},TFCCTF{257135000_floro_08.09.2023_09:46_PM_204.1}
0.27125,LURONGYUANYU217,NYU217,8594019,412329515,CHN,TRAWLERS,conakry,166.0,51.6,8.2,10.9,c18732496-63f4-bef2-fc9a-cf5bdbbecad3,TFCCTF{412329515_conakry_02.09.2023_09:34_PM_51.6},TFCCTF{412329515_conakry_02.09.2023_09:34_PM_166.0}
0.27,LISINDA,ISINDA,0,601375700,ZAF,TRAWLERS,cape town,378.3,260.0,10.8,18.8,6bce4f462-25d3-355e-2cff-68398161604f,TFCCTF{601375700_cape town_06.09.2023_03:57_AM_260.0},TFCCTF{601375700_cape town_06.09.2023_03:57_AM_378.3}
0.27,ZHE PU YU 32152, 32152,0,900232152,,TRAWLERS,zhoushan,121.8,46.8,9.2,7.1,75266156b-b929-79ee-94fd-17c696945966,TFCCTF{900232152_zhoushan_13.09.2023_05:34_PM_46.8},TFCCTF{900232152_zhoushan_13.09.2023_05:34_PM_121.8}
0.27,AQUARIUS,UARIUS,0,230042750,FIN,TRAWLERS,hamina,94.3,27.8,9.2,5.6,bf4bd7c7c-c91e-dd1e-76af-d57955ac10ae,TFCCTF{230042750_hamina_16.09.2023_05:05_PM_27.8},TFCCTF{230042750_hamina_16.09.2023_05:05_PM_94.3}
0.27,PANAGIA GRIDIOTISA I,TISA I,0,239383000,GRC,TRAWLERS,piraeus,176.5,17.7,9.2,10.3,e9d1d6abe-ed5d-7f73-52d4-fbe69d9b46cf,TFCCTF{239383000_piraeus_27.09.2023_04:53_AM_17.7},TFCCTF{239383000_piraeus_27.09.2023_04:53_AM_176.5}
0.27,MICHAIL,ICHAIL,0,240428000,GRC,TRAWLERS,methoni,154.5,12.4,9.2,9.1,0b7ede55d-d42c-01f9-a372-78e5457c2a69,TFCCTF{240428000_methoni_15.09.2023_06:52_AM_12.4},TFCCTF{240428000_methoni_15.09.2023_06:52_AM_154.5}
0.26929,ALASKA BEAUTY,BEAUTY,7337165,367098380,USA,TRAWLERS,kodiak,900.9,63.7,7.7,63.5,aaad8616b-b306-18f1-c55e-246d917d824b,TFCCTF{367098380_kodiak_15.09.2023_07:28_PM_63.7},TFCCTF{367098380_kodiak_15.09.2023_07:28_PM_900.9}
0.26759,NANOPLON,NOPLON,0,228408800,FRA,FISHING,les sables d' olonne,210.5,168.1,9.3,12.2,fcd95b3eb-bdd7-0edb-0ce5-0540aeef6fa3,TFCCTF{228408800_les sables d' olonne_05.09.2023_04:56_AM_168.1},TFCCTF{228408800_les sables d' olonne_05.09.2023_04:56_AM_210.5}
0.26759,SUBHAN,SUBHAN,0,422341231,IRN,FISHING,chabahar,195.8,146.1,9.3,11.4,33529ce2b-b69b-4ae8-802c-5480435aa333,TFCCTF{422341231_chabahar_10.09.2023_04:21_AM_146.1},TFCCTF{422341231_chabahar_10.09.2023_04:21_AM_195.8}
0.26625,SAN ARAMAND,RAMAND,0,512006191,NZL,TRAWLERS,napier,134.8,151.0,9.1,8.0,9a226f38c-cac2-439f-db16-021f8712f86f,TFCCTF{512006191_napier_01.09.2023_02:45_PM_151.0},TFCCTF{512006191_napier_01.09.2023_02:45_PM_134.8}
0.26625,BMNDONE20021,E20021,0,314952888,BRB,TRAWLERS,dongshan,123.3,62.6,9.1,7.3,31e2c0cae-eda8-2a30-96e0-8d7f03f8b5d3,TFCCTF{314952888_dongshan_05.09.2023_05:35_PM_62.6},TFCCTF{314952888_dongshan_05.09.2023_05:35_PM_123.3}
0.26625,UK45 JACOB WILLEMINA,LEMINA,0,244299000,NLD,TRAWLERS,borkum,68.0,28.8,9.1,4.0,cd7a77b93-30d4-72b0-2539-c38f6cd62bf7,TFCCTF{244299000_borkum_04.09.2023_05:14_AM_28.8},TFCCTF{244299000_borkum_04.09.2023_05:14_AM_68.0}
0.26625,HUCHONGYU11159,U11159,0,222370332,,TRAWLERS,shanghai,162.8,66.6,9.1,9.6,5470a66eb-b008-6dc3-553c-6a0f8e0265ba,TFCCTF{222370332_shanghai_03.09.2023_06:41_PM_66.6},TFCCTF{222370332_shanghai_03.09.2023_06:41_PM_162.8}
0.26625,F/V G IMMACULEE,ACULEE,0,228230900,FRA,TRAWLERS,le havre,123.9,49.5,10.9,6.1,145b85523-3602-e026-bc7d-c49e7a14e294,TFCCTF{228230900_le havre_06.09.2023_04:52_AM_49.5},TFCCTF{228230900_le havre_06.09.2023_04:52_AM_123.9}
0.26625,MADSALUNE,SALUNE,0,219959000,DNK,TRAWLERS,thyboron,110.5,41.1,9.1,6.6,fd7bd3c60-043f-3067-9ed6-133dec4dc926,TFCCTF{219959000_thyboron_04.09.2023_03:06_AM_41.1},TFCCTF{219959000_thyboron_04.09.2023_03:06_AM_110.5}
0.26625,ZHEPUYU68085,U68085,0,900268085,,TRAWLERS,zhoushan,86.6,25.5,9.1,5.2,03cc5595e-e60f-b58d-f618-bd2d083e4779,TFCCTF{900268085_zhoushan_03.09.2023_01:16_PM_25.5},TFCCTF{900268085_zhoushan_03.09.2023_01:16_PM_86.6}
0.26625,IDRA,IDRA,0,247301980,ITA,TRAWLERS,sciacca,73.2,20.4,9.1,4.3,e043eace4-443e-92e0-b155-360fc9ab17a1,TFCCTF{247301980_sciacca_04.09.2023_05:41_AM_20.4},TFCCTF{247301980_sciacca_04.09.2023_05:41_AM_73.2}
0.26625,RESEARCH,SEARCH,0,232012586,GBR,TRAWLERS,lerwick,112.4,30.4,10.9,5.6,739a20e53-30aa-f545-0fc1-312b81fdf34d,TFCCTF{232012586_lerwick_04.09.2023_05:20_AM_30.4},TFCCTF{232012586_lerwick_04.09.2023_05:20_AM_112.4}
0.26625,ZHESHENGYU06222,U06222,0,100866222,,TRAWLERS,shengsi,68.7,13.3,9.1,4.1,b2c14be8e-e264-6be0-3f5d-a01a178696a2,TFCCTF{100866222_shengsi_03.09.2023_04:33_PM_13.3},TFCCTF{100866222_shengsi_03.09.2023_04:33_PM_68.7}
0.26625,SHOONA OF MALMESBURY,ESBURY,0,235051492,GBR,TRAWLERS,beaucette,86.8,16.3,9.1,5.1,5208c5f6f-fcf7-5dd9-33c4-9db80fe1f0b2,TFCCTF{235051492_beaucette_26.09.2023_11:02_PM_16.3},TFCCTF{235051492_beaucette_26.09.2023_11:02_PM_86.8}
