score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
1.13562,ZAMBEZI,AMBEZI,7325722,659245000,NAM,TRAWLERS,walvis bay,119.9,125.0,10.1,6.4,3bde07f86-662d-bc20-5b41-076d567e0fee,TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_125.0},TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_119.9}
1.13562,M0115MURMANSK,RMANSK,8860200,273292400,RUS,TRAWLERS,murmansk,224.7,182.7,9.9,12.2,80c948a55-524d-38f6-3e14-f6a9724357a9,TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_182.7},TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_224.7}
1.10687,F/V MAR MARES, MARES,9282651,228437700,FRA,TRAWLERS,dingle,214.4,73.8,10.3,11.2,f133c20ce-e088-5e39-08be-661aad4559c9,TFCCTF{228437700_dingle_02.09.2023_02:34_AM_73.8},TFCCTF{228437700_dingle_02.09.2023_02:34_AM_214.4}
1.0925,ARGENOVA X,NOVA X,8702692,701000950,ARG,TRAWLERS,puerto deseado,193.8,181.6,9.6,10.9,a665db779-9536-53d1-836d-0d1df7630434,TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_181.6},TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_193.8}
1.0925,BAQUEIRO,QUEIRO,8733342,224324000,ESP,TRAWLERS,castletown bearhaven,164.8,176.8,9.6,9.3,554cb8562-23c2-510a-0686-fd68d007a5c5,TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_176.8},TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_164.8}
1.0925,F/V MARANATHA II,THA II,9199878,227138800,FRA,TRAWLERS,cherbourg,110.6,59.1,10.4,5.7,9242b9777-7040-808e-06f5-4667634c6ac3,TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_59.1},TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_110.6}
1.0925,TAIMANIA,IMANIA,8803733,273356020,RUS,TRAWLERS,krabozavodsk,167.4,72.6,9.6,9.4,d133369a7-7f33-9889-9c9d-eb271c0630ad,TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_72.6},TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_167.4}
1.07812,UK246 CONCORDIA,CORDIA,9055034,246068000,NLD,TRAWLERS,harlingen,142.4,57.5,10.5,7.3,6687ad206-6057-26b6-cabd-a72e1649576c,TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_57.5},TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_142.4}
1.06375,KAPITAN BOGOMOLOV,OMOLOV,8607402,273528800,RUS,TRAWLERS,dakhla,144.9,149.8,10.6,7.4,57871468a-a994-35af-afb7-b9a23d9ed3aa,TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_149.8},TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_144.9}
1.06375,BJORGULFUR,GULFUR,9758210,251414000,ISL,TRAWLERS,dalvik,125.9,52.8,9.4,7.2,f61873125-50aa-a9fb-f68c-46f5d6439581,TFCCTF{251414000_dalvik_01.09.2023_08:09_PM_52.8},TFCCTF{251414000_dalvik_01.09.2023_08:09_PM_125.9}
1.06375,GINNETON,NNETON,9150016,273451890,RUS,TRAWLERS,malokurilsk,167.2,63.9,10.6,8.5,84f86cfb3-3246-c480-9f29-d71924581c35,TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_63.9},TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_167.2}
1.04937,F/V JEAN TABOUREL,BOUREL,9871933,228364900,FRA,TRAWLERS,port-en-bessin,173.7,54.9,10.7,8.8,014b58794-4e2a-e45a-0823-9613fcef7650,TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_54.9},TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_173.7}
1.039,DON AGUSTIN,GUSTIN,9072020,701000727,ARG,TRAWLERS,san antonio este,469.7,306.4,9.8,25.9,f145c30f8-88be-9c7b-bb7c-c3579794c259,TFCCTF{701000727_san antonio este_09.09.2023_03:51_PM_306.4},TFCCTF{701000727_san antonio este_09.09.2023_03:51_PM_469.7}
1.035,AURORA,AURORA,8101678,367729000,USA,TRAWLERS,dutch harbor,119.7,79.5,10.8,6.0,158175fb6-6899-07da-656c-f1b691c902c8,TFCCTF{367729000_dutch harbor_01.09.2023_02:08_AM_79.5},TFCCTF{367729000_dutch harbor_01.09.2023_02:08_AM_119.7}
1.035,ALFONSO RIERA CUARTO,CUARTO,8739932,224026860,ESP,TRAWLERS,dakar,334.6,171.1,9.2,19.6,a054330ca-a2bd-7d39-14d8-3f381abda295,TFCCTF{224026860_dakar_01.09.2023_07:21_AM_171.1},TFCCTF{224026860_dakar_01.09.2023_07:21_AM_334.6}
1.035,FRIOSUR IX,SUR IX,8011718,725000620,CHL,TRAWLERS,puerto chacabuco,237.7,81.5,10.8,11.9,cfb70c275-5a92-613a-7d4e-fd635d9d4e38,TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_81.5},TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_237.7}
1.035,HUGINN,HUGINN,9211690,251139000,ISL,TRAWLERS,vestmannaeyjar,471.7,90.7,10.8,23.5,fd14c0490-0d11-e513-f0d5-138e3a8dc942,TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_90.7},TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_471.7}
1.02062,PRAIA DE RODEIRA,ODEIRA,9265330,224546000,ESP,TRAWLERS,cansado,199.0,123.7,9.1,11.8,ae36a2e64-4845-ad9d-4a2c-fddfd563d92a,TFCCTF{224546000_cansado_05.09.2023_08:41_AM_123.7},TFCCTF{224546000_cansado_05.09.2023_08:41_AM_199.0}
1.00625,RIO MAU,IO MAU,9107980,242328400,MAR,TRAWLERS,tangier,98.3,95.9,11.0,4.8,73046821e-e329-fb9f-7278-69051e0d0783,TFCCTF{242328400_tangier_01.09.2023_05:52_AM_95.9},TFCCTF{242328400_tangier_01.09.2023_05:52_AM_98.3}
1.00625,TOR-ON,TOR-ON,9840116,219030383,DNK,TRAWLERS,skagen,348.8,60.6,9.0,20.8,dc879375f-f872-d703-f785-181f2caeba5c,TFCCTF{219030383_skagen_02.09.2023_07:15_AM_60.6},TFCCTF{219030383_skagen_02.09.2023_07:15_AM_348.8}
1.0,POLARHAV,LARHAV,9295804,231326000,FRO,TRAWLERS,klaksvik,86.4,71.8,10.0,4.7,8238d1b27-7d8f-6f67-7b8e-f27573930dee,TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_71.8},TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_86.4}
1.0,ROSSYOKI,SSYOKI,8708373,273313560,RUS,TRAWLERS,retinskoe,291.4,236.4,10.0,15.7,273a09c94-4be9-9978-6ffd-74f9b14638b3,TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_236.4},TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_291.4}
1.0,ARCTURUS,CTURUS,8315724,303159000,USA,TRAWLERS,dutch harbor,123.4,79.3,10.0,6.7,dbd61222f-fcf1-a0b3-7d0f-5ac01ab1167c,TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_79.3},TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_123.4}
1.0,NORTHERN JOY H225 FV,225 FV,9073866,232008947,GBR,TRAWLERS,harlingen,163.3,83.8,10.0,8.8,9bad1a237-7919-2150-50f8-842c1c47c3ea,TFCCTF{232008947_harlingen_04.09.2023_08:30_AM_83.8},TFCCTF{232008947_harlingen_04.09.2023_08:30_AM_163.3}
1.0,GIUSEPPE GAIA,E GAIA,7720312,247145250,ITA,TRAWLERS,mazara del vallo,146.5,64.8,10.0,7.9,e20de1731-1ed1-9244-8585-75ca38a6cdc7,TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_64.8},TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_146.5}
1.0,TX14 GRIETJE,RIETJE,8432223,246014000,NLD,TRAWLERS,den helder,207.8,66.3,10.0,11.2,6e3d914c4-4b85-f842-b0c3-b96105500507,TFCCTF{246014000_den helder_05.09.2023_11:59_PM_66.3},TFCCTF{246014000_den helder_05.09.2023_11:59_PM_207.8}
1.0,NUOVA ARETUSA,RETUSA,8688652,247147510,ITA,TRAWLERS,mazara del vallo,369.6,93.9,10.0,19.9,fde671ee2-2f83-9480-eda3-2e78ee250bc3,TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_93.9},TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_369.6}
0.99187,F/V INTXORTA MENDI, MENDI,9264403,224139000,ESP,TRAWLERS,ondarroa,223.2,70.7,8.9,13.5,3d4583bc3-36fa-4383-dcdd-b0d91b85d4f3,TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_70.7},TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_223.2}
0.99187,KENNEDY,ENNEDY,6825490,266274000,SWE,TRAWLERS,foto,250.3,52.1,8.9,15.1,9fead5bb4-4895-e2aa-1f9e-7dfab200bf46,TFCCTF{266274000_foto_04.09.2023_06:37_AM_52.1},TFCCTF{266274000_foto_04.09.2023_06:37_AM_250.3}
0.9875,HARVEST KROTOA,KROTOA,8709949,601512000,ZAF,TRAWLERS,saldanha bay,87.4,86.8,9.9,4.8,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_86.8},TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4}
0.9875,EMERALD,MERALD,9913614,231872000,FRO,TRAWLERS,leirvik,120.1,110.6,10.1,6.4,fe1a40438-8ba7-897b-b0e3-de6dac70455c,TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_110.6},TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_120.1}
0.9875,KATE 2,KATE 2,8990419,366982430,USA,TRAWLERS,new bedford,330.3,247.3,9.9,18.0,db7e115f8-8ba1-037b-7876-d593a4d70f7c,TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_247.3},TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_330.3}
0.9875,NIMB,NIMB,9100889,273212900,RUS,TRAWLERS,murmansk,121.5,90.4,10.1,6.5,126afff89-9e18-a640-6b11-3d5060ff762c,TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_90.4},TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_121.5}
0.9875,PRAIA DA MAROSA,MAROSA,8731813,663250000,SEN,TRAWLERS,dakar,203.9,115.1,9.9,11.1,f5d810a8d-d406-64e0-fc57-8f2edbc0894c,TFCCTF{663250000_dakar_03.09.2023_06:18_AM_115.1},TFCCTF{663250000_dakar_03.09.2023_06:18_AM_203.9}
0.9875,MDV1 IMMANUEL,MANUEL,9771573,244860048,NLD,TRAWLERS,borkum,258.2,63.0,9.9,14.1,12c5ed095-5963-0c04-4c97-0308e2227c6d,TFCCTF{244860048_borkum_04.09.2023_03:31_PM_63.0},TFCCTF{244860048_borkum_04.09.2023_03:31_PM_258.2}
0.975,FISHER BANK,R BANK,7232688,659275000,NAM,TRAWLERS,walvis bay,126.6,125.1,9.8,7.0,e04691b47-73aa-3d8a-5261-b838d8bbba9a,TFCCTF{659275000_walvis bay_01.09.2023_04:27_AM_125.1},TFCCTF{659275000_walvis bay_01.09.2023_04:27_AM_126.6}
0.975,ASSAADI,SSAADI,7719923,242191100,MAR,TRAWLERS,dakhla,127.1,116.9,10.2,6.7,2ccb0e4a5-51d0-150f-24aa-66c0c789136b,TFCCTF{242191100_dakhla_01.09.2023_05:01_AM_116.9},TFCCTF{242191100_dakhla_01.09.2023_05:01_AM_127.1}
0.975,VICTORY,ICTORY,8555788,219421000,DNK,TRAWLERS,hvide sande,115.6,102.3,10.2,6.1,bf7c1a86e-e0e2-9587-60b0-7321360a26d1,TFCCTF{219421000_hvide sande_01.09.2023_10:10_AM_102.3},TFCCTF{219421000_hvide sande_01.09.2023_10:10_AM_115.6}
0.975,BORIS ZAYTSEV,AYTSEV,9137478,273552400,RUS,TRAWLERS,retinskoe,228.4,184.6,9.8,12.6,cf7341971-1337-b77b-4c28-a7c71586c5b5,TFCCTF{273552400_retinskoe_01.09.2023_07:14_AM_184.6},TFCCTF{273552400_retinskoe_01.09.2023_07:14_AM_228.4}
0.975,UK64 MATTANJA,TTANJA,8985165,245265000,NLD,TRAWLERS,harlingen,129.4,54.5,10.2,6.9,68afaee80-0667-62f9-6107-df90bb4e63c8,TFCCTF{245265000_harlingen_04.09.2023_06:51_AM_54.5},TFCCTF{245265000_harlingen_04.09.2023_06:51_AM_129.4}
0.975,VERAZ,VERAZ,8717271,701000711,ARG,TRAWLERS,mar del plata,373.9,143.1,9.8,20.5,f0b83bee1-1c67-525e-00af-7945d3363f87,TFCCTF{701000711_mar del plata_01.09.2023_11:19_AM_143.1},TFCCTF{701000711_mar del plata_01.09.2023_11:19_AM_373.9}
0.975,GUIDING LIGHT H90,HT H90,9840025,232013783,GBR,TRAWLERS,peterhead,228.5,79.6,10.2,12.2,75b45a2a3-3df8-98a0-2536-0c3d731b2ff8,TFCCTF{232013783_peterhead_15.09.2023_05:29_AM_79.6},TFCCTF{232013783_peterhead_15.09.2023_05:29_AM_228.5}
0.975,ST JEAN BAPTISTE,PTISTE,8712556,250003659,IRL,TRAWLERS,howth,218.2,66.6,9.8,12.1,b4f190f41-1426-25c7-992d-470a700efd4c,TFCCTF{250003659_howth_04.09.2023_12:01_PM_66.6},TFCCTF{250003659_howth_04.09.2023_12:01_PM_218.2}
0.975,SOPHIE Z39,IE Z39,9899624,205248000,BEL,TRAWLERS,cork,194.7,58.8,9.8,10.8,a516b5d6a-a62d-d519-92cf-e0cf16252ae1,TFCCTF{205248000_cork_20.09.2023_07:26_PM_58.8},TFCCTF{205248000_cork_20.09.2023_07:26_PM_194.7}
0.96341,DESAFIO,ESAFIO,9013385,701006020,ARG,TRAWLERS,mar del plata,451.7,295.5,9.9,24.6,2f25ce93e-ea6f-cfb9-e414-b77ae43c838c,TFCCTF{701006020_mar del plata_23.09.2023_07:42_PM_295.5},TFCCTF{701006020_mar del plata_23.09.2023_07:42_PM_451.7}
0.96312,SANTA LUNA M.,UNA M.,8466901,247103820,ITA,TRAWLERS,porto empedocle,89.4,69.3,11.3,4.3,4b5b610f5-55a1-de41-c66c-d4dc7bfa05b6,TFCCTF{247103820_porto empedocle_09.09.2023_03:50_AM_69.3},TFCCTF{247103820_porto empedocle_09.09.2023_03:50_AM_89.4}
0.96312,OD-6 ZELDENRUST,ENRUST,8619998,245794000,NLD,TRAWLERS,stellendam,134.6,62.2,8.7,8.3,81321128a-ab0f-f26c-cd58-325fe3802ddd,TFCCTF{245794000_stellendam_04.09.2023_07:25_AM_62.2},TFCCTF{245794000_stellendam_04.09.2023_07:25_AM_134.6}
0.9625,ARBUMASA XV,ASA XV,8916413,701000708,ARG,TRAWLERS,puerto deseado,244.4,233.0,9.7,13.6,03d12278a-a35b-ce50-918b-673e1bca4940,TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_233.0},TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_244.4}
0.9625,MFV DEBORAH,EBORAH,8871766,205162000,BEL,TRAWLERS,thyboron,132.0,125.6,10.3,6.9,d8ef6bcc4-4a35-e37f-e90d-66fe318388ab,TFCCTF{205162000_thyboron_01.09.2023_03:03_PM_125.6},TFCCTF{205162000_thyboron_01.09.2023_03:03_PM_132.0}
0.9625,SUENO REAL,O REAL,9004891,701007001,ARG,TRAWLERS,mar del plata,98.4,90.8,10.3,5.1,5d6e5ee82-2b76-0954-bc44-dd4ad14bc611,TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_90.8},TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_98.4}
0.9625,WIRON V,IRON V,8417364,659250000,NAM,TRAWLERS,walvis bay,135.7,122.0,10.3,7.1,1102611f4-49d8-788a-5b48-ecbadefbe92b,TFCCTF{659250000_walvis bay_02.09.2023_12:00_AM_122.0},TFCCTF{659250000_walvis bay_02.09.2023_12:00_AM_135.7}
0.9625,SJOVIK,SJOVIK,9826782,257058070,NOR,TRAWLERS,flekkeroy,83.3,59.4,9.7,4.6,27ecb2e9e-ee66-af03-14bc-20e839ae6bea,TFCCTF{257058070_flekkeroy_01.09.2023_12:27_PM_59.4},TFCCTF{257058070_flekkeroy_01.09.2023_12:27_PM_83.3}
0.9625,OCEANIC,CEANIC,7910022,367038990,USA,TRAWLERS,st paul,228.9,157.2,10.3,12.0,91d520cb0-0500-ab1d-0311-a4157040593c,TFCCTF{367038990_st paul_01.09.2023_01:20_PM_157.2},TFCCTF{367038990_st paul_01.09.2023_01:20_PM_228.9}
0.9625,OCEAN LEADER,LEADER,7613624,367478000,USA,TRAWLERS,st paul,251.1,170.0,9.7,14.0,94bdf3de6-6393-d38e-9d10-2c8686d9e407,TFCCTF{367478000_st paul_01.09.2023_02:54_PM_170.0},TFCCTF{367478000_st paul_01.09.2023_02:54_PM_251.1}
0.9625,NORTHERN DEFENDER,FENDER,7934250,366901360,USA,TRAWLERS,dutch harbor,117.8,74.6,9.7,6.6,4ab33cc92-24de-bfc6-acb3-3ede61feb09e,TFCCTF{366901360_dutch harbor_01.09.2023_04:39_PM_74.6},TFCCTF{366901360_dutch harbor_01.09.2023_04:39_PM_117.8}
0.9625,FV BILLYROWNEY PZ532, PZ532,7303188,232005850,GBR,TRAWLERS,mousehole,101.6,60.1,10.3,5.3,2035a5aa6-6858-6364-b403-c59eb82cbf76,TFCCTF{232005850_mousehole_01.09.2023_11:04_PM_60.1},TFCCTF{232005850_mousehole_01.09.2023_11:04_PM_101.6}
0.9625,LINGBANK,NGBANK,9816804,219025976,DNK,TRAWLERS,hanstholm,197.3,76.2,9.7,10.9,62d956147-737a-70d8-cd63-491f8a0ac041,TFCCTF{219025976_hanstholm_02.09.2023_08:40_AM_76.2},TFCCTF{219025976_hanstholm_02.09.2023_08:40_AM_197.3}
0.9625,OSHIVELI,HIVELI,9839428,659033000,NAM,TRAWLERS,walvis bay,420.5,100.2,10.3,21.9,1ef654679-9b05-22ed-d9d6-a0028bd433d9,TFCCTF{659033000_walvis bay_08.09.2023_06:35_AM_100.2},TFCCTF{659033000_walvis bay_08.09.2023_06:35_AM_420.5}
0.95455,KOMANDOR,MANDOR,9005285,273332830,RUS,TRAWLERS,malokurilsk,433.5,289.3,9.7,24.2,f2c7d62ce-e21c-37b4-f523-436a17de65ab,TFCCTF{273332830_malokurilsk_13.09.2023_08:13_AM_289.3},TFCCTF{273332830_malokurilsk_13.09.2023_08:13_AM_433.5}
0.95,F/V JULIARTH 2,ARTH 2,9099597,228168900,FRA,TRAWLERS,le grau du roi,89.0,61.8,10.4,4.6,1f26621fe-ead1-8443-22e3-744833c02bf3,TFCCTF{228168900_le grau du roi_01.09.2023_05:43_AM_61.8},TFCCTF{228168900_le grau du roi_01.09.2023_05:43_AM_89.0}
0.95,LOMUR,LOMUR,8718897,331191000,GRL,TRAWLERS,ilulissat,232.2,143.7,9.6,13.1,961ac8fa8-879e-7940-53fc-626439129972,TFCCTF{331191000_ilulissat_01.09.2023_03:25_AM_143.7},TFCCTF{331191000_ilulissat_01.09.2023_03:25_AM_232.2}
0.95,UK237 GRIETJE BOS,JE BOS,9056143,244836000,NLD,TRAWLERS,ijmuiden,175.2,80.9,9.6,9.9,3f9bf0a52-2d3f-f215-1e57-edddbfcc9460,TFCCTF{244836000_ijmuiden_04.09.2023_10:15_AM_80.9},TFCCTF{244836000_ijmuiden_04.09.2023_10:15_AM_175.2}
0.95,NONO PASCUAL,ASCUAL,9707778,701006502,ARG,TRAWLERS,mar del plata,356.5,136.4,9.6,20.0,da3313518-82cd-9a6b-a559-a1ba29ea19ff,TFCCTF{701006502_mar del plata_02.09.2023_08:35_PM_136.4},TFCCTF{701006502_mar del plata_02.09.2023_08:35_PM_356.5}
0.95,VASTFJORD II,ORD II,9286748,266352000,SWE,TRAWLERS,skagen,169.8,57.4,10.4,8.8,fd408f4fe-e839-7869-775a-24f5f780b176,TFCCTF{266352000_skagen_07.09.2023_12:41_AM_57.4},TFCCTF{266352000_skagen_07.09.2023_12:41_AM_169.8}
0.95,XEOS,XEOS,8810839,224004950,ESP,TRAWLERS,celeiro,418.6,109.4,10.4,21.7,8ee84ed3a-ada3-c508-3b81-75eb2c61ed5a,TFCCTF{224004950_celeiro_04.09.2023_05:19_PM_109.4},TFCCTF{224004950_celeiro_04.09.2023_05:19_PM_418.6}
0.94875,GO-22 JAN CORNELIS,RNELIS,9368663,246214000,NLD,TRAWLERS,ijmuiden,101.5,54.4,11.4,4.8,7cb0fba5a-a8a5-f48e-755f-9213998ee560,TFCCTF{246214000_ijmuiden_04.09.2023_03:46_AM_54.4},TFCCTF{246214000_ijmuiden_04.09.2023_03:46_AM_101.5}
0.9375,MARIA GLORIA,GLORIA,8696465,701006341,ARG,TRAWLERS,mar del plata,212.2,210.4,9.5,12.1,22ff4df68-8b03-446a-ad0e-c2fd833069a8,TFCCTF{701006341_mar del plata_01.09.2023_10:49_AM_210.4},TFCCTF{701006341_mar del plata_01.09.2023_10:49_AM_212.2}
0.9375,MYS MURAVJEVA,AVJEVA,9053373,273892200,RUS,TRAWLERS,petropavlovsk,98.5,94.5,10.5,5.1,bf434a1b5-5195-f66e-131a-2f3e0a99ea8b,TFCCTF{273892200_petropavlovsk_28.09.2023_08:32_PM_94.5},TFCCTF{273892200_petropavlovsk_28.09.2023_08:32_PM_98.5}
0.9375,MARIA LILIANA,ILIANA,7813080,701000645,ARG,TRAWLERS,puerto madryn,159.9,147.9,9.5,9.1,0daa94a5e-eb73-7aea-d2dc-2ffc33723dcd,TFCCTF{701000645_puerto madryn_01.09.2023_10:03_PM_147.9},TFCCTF{701000645_puerto madryn_01.09.2023_10:03_PM_159.9}
0.9375,LJOSAFELL,SAFELL,7311965,251143110,ISL,TRAWLERS,faskrudsfjordur,75.0,67.4,9.5,4.3,6c36e5996-6781-9ec0-311f-d94badd5a61b,TFCCTF{251143110_faskrudsfjordur_12.09.2023_10:33_AM_67.4},TFCCTF{251143110_faskrudsfjordur_12.09.2023_10:33_AM_75.0}
0.9375,F/V ROSSOREN,SSOREN,9478731,228301700,FRA,TRAWLERS,castletown bearhaven,137.1,111.8,9.5,7.8,c245f8df5-50d2-ee20-fea3-b15f3a734f9e,TFCCTF{228301700_castletown bearhaven_02.09.2023_12:39_AM_111.8},TFCCTF{228301700_castletown bearhaven_02.09.2023_12:39_AM_137.1}
0.9375,POLARIS MK 0355,K 0355,9119684,273359770,RUS,TRAWLERS,murmansk,249.8,199.6,9.5,14.1,7e110c3e8-806f-42cc-4c1e-3812bd44f2c8,TFCCTF{273359770_murmansk_15.09.2023_11:48_AM_199.6},TFCCTF{273359770_murmansk_15.09.2023_11:48_AM_249.8}
0.9375,FRAM,FRAM,8814287,231160000,FRO,TRAWLERS,fuglafjordur,323.7,256.7,9.5,18.5,5e46bf95f-fa8a-8fae-cdaa-58d70991e4d5,TFCCTF{231160000_fuglafjordur_02.09.2023_10:12_AM_256.7},TFCCTF{231160000_fuglafjordur_02.09.2023_10:12_AM_323.7}
0.9375,ALEUTIAN CHALLENGER,LENGER,7912109,368409000,USA,TRAWLERS,st paul,240.3,169.1,9.5,13.6,dc112cedd-d171-59d8-ee52-99ebfe14324c,TFCCTF{368409000_st paul_01.09.2023_02:07_PM_169.1},TFCCTF{368409000_st paul_01.09.2023_02:07_PM_240.3}
0.9375,ALFONSO RIERA TERCER,TERCER,8734877,224282000,ESP,TRAWLERS,dakar,353.6,184.8,9.5,20.0,d7f0a49c3-35ca-c6db-7786-d49a798e2e3c,TFCCTF{224282000_dakar_01.09.2023_07:36_AM_184.8},TFCCTF{224282000_dakar_01.09.2023_07:36_AM_353.6}
0.9375,M/P:MEDINEA.,DINEA.,8688339,247142580,ITA,TRAWLERS,mazara del vallo,175.1,54.5,9.5,9.9,648dda9c8-8540-d545-d622-a86c878acd63,TFCCTF{247142580_mazara del vallo_11.09.2023_05:29_AM_54.5},TFCCTF{247142580_mazara del vallo_11.09.2023_05:29_AM_175.1}
0.93437,HOYVIK,HOYVIK,7719985,231020000,FRO,TRAWLERS,fuglafjordur,229.1,207.0,11.5,10.8,8b9d1f16f-f39a-25bc-186c-42749b04aff3,TFCCTF{231020000_fuglafjordur_01.09.2023_09:26_PM_207.0},TFCCTF{231020000_fuglafjordur_01.09.2023_09:26_PM_229.1}
0.93437,NORDBORG,RDBORG,9404247,231051000,FRO,TRAWLERS,klaksvik,319.6,276.7,11.5,15.0,548298f57-7105-3158-cb09-3b78d5d29ccc,TFCCTF{231051000_klaksvik_02.09.2023_03:07_PM_276.7},TFCCTF{231051000_klaksvik_02.09.2023_03:07_PM_319.6}
0.925,EHANGA BAY,GA BAY,9022881,659398000,NAM,TRAWLERS,walvis bay,167.9,164.7,9.4,9.7,b8197090b-b53f-05ca-d890-9a8bfcd6af18,TFCCTF{659398000_walvis bay_04.09.2023_01:34_AM_164.7},TFCCTF{659398000_walvis bay_04.09.2023_01:34_AM_167.9}
0.925,POLAR-1,OLAR-1,9227431,242359400,MAR,TRAWLERS,dakhla,88.9,73.3,10.6,4.5,923cfae35-524a-1f46-edaf-1f72dd6a6035,TFCCTF{242359400_dakhla_09.09.2023_05:31_AM_73.3},TFCCTF{242359400_dakhla_09.09.2023_05:31_AM_88.9}
0.925,F/V LE BREIZH,BREIZH,8799451,228083700,FRA,TRAWLERS,groix,104.6,76.1,10.6,5.4,6c45c3655-5395-91c1-4d43-4ee065f8c8ff,TFCCTF{228083700_groix_01.09.2023_08:06_AM_76.1},TFCCTF{228083700_groix_01.09.2023_08:06_AM_104.6}
0.925,GULLVER,ULLVER,8211851,251049110,ISL,TRAWLERS,seydisfjordur,97.8,57.4,10.6,5.0,60b815d36-64e0-5e31-fea8-e66ae6942702,TFCCTF{251049110_seydisfjordur_22.09.2023_03:29_AM_57.4},TFCCTF{251049110_seydisfjordur_22.09.2023_03:29_AM_97.8}
0.925,TITUVENAY,UVENAY,8727329,273420840,RUS,TRAWLERS,retinskoe,271.0,151.5,10.6,13.8,f6be05075-5b04-9563-1628-f56fcc6ee8f6,TFCCTF{273420840_retinskoe_03.09.2023_04:22_AM_151.5},TFCCTF{273420840_retinskoe_03.09.2023_04:22_AM_271.0}
0.925,F/V VAUBAN,VAUBAN,8543383,227414000,FRA,TRAWLERS,port-en-bessin,173.6,51.4,10.6,8.8,0bd28d2d6-6d15-aa64-7ff6-ad654e2cb82b,TFCCTF{227414000_port-en-bessin_03.09.2023_08:05_AM_51.4},TFCCTF{227414000_port-en-bessin_03.09.2023_08:05_AM_173.6}
0.925,CETON,CETON,9806847,220141000,DNK,TRAWLERS,skagen,334.0,81.1,10.6,17.0,b808c9e0f-fb2e-9bcd-cd9d-16e6c83c2dd9,TFCCTF{220141000_skagen_03.09.2023_10:02_AM_81.1},TFCCTF{220141000_skagen_03.09.2023_10:02_AM_334.0}
0.9125,TUMMAS T.,MAS T.,9255232,231049000,FRO,TRAWLERS,fuglafjordur,333.7,284.1,10.7,16.8,a033c9464-4cbc-8da7-25ce-bfd52613ba79,TFCCTF{231049000_fuglafjordur_01.09.2023_03:23_PM_284.1},TFCCTF{231049000_fuglafjordur_01.09.2023_03:23_PM_333.7}
