final,score,story,name,tail,imo,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,n_fish_sep,gap_h,kn,km_calc,km_gfw,fish_start,vid,flag_calc,flag_gfw2
0.00219,1.0925,0.002,F/V MARANATHA II,THA II,9199878,227138800,FRA,TRAWLERS,CHERBOURG,22,4,162,100,5.72,10.43,110.6,59.1,2023-09-02T05:15:40,9242b9777-7040-808e-06f5-4667634c6ac3,TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_110.6},TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_59.1}
0.00154,1.0925,0.0014,TAIMANIA,IMANIA,8803733,273356020,RUS,TRAWLERS,KRABOZAVODSK,38,5,98,69,9.42,9.6,167.4,72.6,2023-09-03T03:42:23,d133369a7-7f33-9889-9c9d-eb271c0630ad,TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_167.4},TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_72.6}
0.00151,0.9875,0.0015,HARVEST KROTOA,KROTOA,8709949,601512000,ZAF,TRAWLERS,SALDANHA BAY,25,5,121,94,4.77,9.91,87.4,86.8,2023-09-01T20:51:09,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4},TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_86.8}
0.0014,1.06375,0.0013,GINNETON,NNETON,9150016,273451890,RUS,TRAWLERS,MALOKURILSK,37,6,101,62,8.53,10.58,167.2,63.9,2023-09-01T21:45:51,84f86cfb3-3246-c480-9f29-d71924581c35,TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_167.2},TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_63.9}
0.00138,0.99187,0.0014,KENNEDY,ENNEDY,6825490,266274000,SWE,TRAWLERS,FOTO,39,6,78,55,15.13,8.93,250.3,52.1,2023-09-04T06:37:27,9fead5bb4-4895-e2aa-1f9e-7dfab200bf46,TFCCTF{266274000_foto_04.09.2023_06:37_AM_250.3},TFCCTF{266274000_foto_04.09.2023_06:37_AM_52.1}
0.00127,1.035,0.0012,FRIOSUR IX,SUR IX,8011718,725000620,CHL,TRAWLERS,PUERTO CHACABUCO,30,4,131,131,11.87,10.81,237.7,81.5,2023-09-05T10:34:10,cfb70c275-5a92-613a-7d4e-fd635d9d4e38,TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_237.7},TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_81.5}
0.00123,1.0,0.0012,ARCTURUS,CTURUS,8315724,303159000,USA,TRAWLERS,DUTCH HARBOR,48,9,43,30,6.69,9.96,123.4,79.3,2023-09-01T12:36:01,dbd61222f-fcf1-a0b3-7d0f-5ac01ab1167c,TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_123.4},TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_79.3}
0.00058,0.975,0.0006,ASSAADI,SSAADI,7719923,242191100,MAR,TRAWLERS,DAKHLA,40,7,175,119,6.73,10.2,127.1,116.9,2023-09-01T05:01:25,2ccb0e4a5-51d0-150f-24aa-66c0c789136b,TFCCTF{242191100_dakhla_01.09.2023_05:01_AM_127.1},TFCCTF{242191100_dakhla_01.09.2023_05:01_AM_116.9}
0.00032,0.9625,0.0003,SJOVIK,SJOVIK,9826782,257058070,NOR,TRAWLERS,FLEKKEROY,74,12,110,68,4.63,9.72,83.3,59.4,2023-09-01T12:27:28,27ecb2e9e-ee66-af03-14bc-20e839ae6bea,TFCCTF{257058070_flekkeroy_01.09.2023_12:27_PM_83.3},TFCCTF{257058070_flekkeroy_01.09.2023_12:27_PM_59.4}
0.00025,0.95,0.0003,F/V JULIARTH 2,ARTH 2,9099597,228168900,FRA,TRAWLERS,LE GRAU DU ROI,86,20,69,40,4.62,10.41,89.0,61.8,2023-09-01T05:43:17,1f26621fe-ead1-8443-22e3-744833c02bf3,TFCCTF{228168900_le grau du roi_01.09.2023_05:43_AM_89.0},TFCCTF{228168900_le grau du roi_01.09.2023_05:43_AM_61.8}
