score,name,mmsi,flag,geartype,dep_port,n_pv,n_fish,n_fish_sep,single_prior,prior_30d,gap_h,kn,km_calc,km_gfw,agree,exact1dp,namelen,fish_start,rank,vid,flag_calc,err
0.0146,TRONDUR I GOETU,231036000,FRO,TRAWLERS,FUGLAFJORDUR,30,35,13,no,4,17.13,8.53,270.6,262.4,0.0303,no,13,2023-09-03T18:03:14,0.6083,88d8a1194-44e0-9406-0095-756b9c0269b0,TFCCTF{231036000_fuglafjordur_03.09.2023_06:03_PM_270.6},
0.014,ZHU WAN 3938,412480743,CHN,TRAWLERS,HONGKONG,24,59,44,no,5,4.11,6.99,53.2,50.2,0.0551,no,10,2023-09-04T14:34:18,0.2549,e24d1641f-f9f0-f6f6-7b71-8af2196e5ae1,TFCCTF{412480743_hongkong_04.09.2023_02:34_PM_53.2},
0.0135,HARVEST KROTOA,601512000,ZAF,TRAWLERS,SALDANHA BAY,25,121,94,no,5,4.77,9.91,87.4,86.8,0.007,no,13,2023-09-01T20:51:09,0.929,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4},
0.013,POPA,701000964,ARG,TRAWLERS,MAR DEL PLATA,21,68,54,no,3,7.76,8.65,124.4,118.0,0.0514,no,4,2023-09-08T22:20:40,0.4337,0cbaae345-554e-c06d-5c6b-80a5a805cb00,TFCCTF{701000964_mar del plata_08.09.2023_10:20_PM_124.4},
0.0094,ALLOTF 3,242926000,MAR,TRAWLERS,DAKHLA,22,52,13,no,8,9.55,7.24,128.0,119.9,0.0635,no,7,2023-09-01T08:17:24,0.2266,2d2b10537-74da-cea1-0475-b5ce56a336a2,TFCCTF{242926000_dakhla_01.09.2023_08:17_AM_128.0},
0.007,LONNOY,242589300,MAR,TRAWLERS,DAKHLA,37,132,96,no,7,8.17,6.74,101.9,100.3,0.0163,no,6,2023-09-02T10:39:21,0.4309,a6160fc28-805a-a26b-45b2-27fb80d130b6,TFCCTF{242589300_dakhla_02.09.2023_10:39_AM_101.9},
0.0065,ASSAADI,242191100,MAR,TRAWLERS,DAKHLA,40,175,119,no,7,6.73,10.2,127.1,116.9,0.0803,no,7,2023-09-01T05:01:25,0.1962,2ccb0e4a5-51d0-150f-24aa-66c0c789136b,TFCCTF{242191100_dakhla_01.09.2023_05:01_AM_127.1},
0.0052,F.V. COOK CANYON,512000842,NZL,TRAWLERS,GREYMOUTH,34,124,90,no,10,18.3,7.15,242.2,238.7,0.0143,no,14,2023-09-01T20:51:07,0.5154,1cf65b2bc-c109-65d9-8e27-3f0e87c1553e,TFCCTF{512000842_greymouth_01.09.2023_08:51_PM_242.2},
0.0052,HM 110 ROSA LINE,219005878,DNK,TRAWLERS,HANSTHOLM,31,30,7,no,11,4.81,6.6,58.8,60.7,0.0309,no,13,2023-09-01T03:25:03,0.335,0f2e34723-3e1d-b20d-51d4-185519ec77bd,TFCCTF{219005878_hanstholm_01.09.2023_03:25_AM_58.8},
0.005,ARCTICEXPLORER,367108570,USA,TRAWLERS,AKUTAN,36,31,4,no,10,6.19,7.21,82.6,80.6,0.0241,no,14,2023-09-01T05:05:14,0.4668,cdbffdff6-6a4c-e776-10a7-29a56dcc13fd,TFCCTF{367108570_akutan_01.09.2023_05:05_AM_82.6},
0.0042,DAWN,367181980,USA,TRAWLERS,KODIAK,56,77,77,no,4,4.45,6.06,49.9,47.3,0.0524,no,4,2023-09-05T23:13:04,0.1802,4626ffaf7-70cd-ecb6-eb1c-1bcb0fed8bb6,TFCCTF{367181980_kodiak_05.09.2023_11:13_PM_49.9},
0.0039,PACIFIC VIKING,303428000,USA,TRAWLERS,AKUTAN,61,49,32,no,8,4.87,7.68,69.3,63.1,0.0893,no,13,2023-09-02T07:41:31,0.0764,4c49f018d-dd77-5ba8-678d-fd6fa4134af9,TFCCTF{303428000_akutan_02.09.2023_07:41_AM_69.3},
0.0037,HM74 OESTERSTRAND,219787000,DNK,TRAWLERS,HANSTHOLM,38,49,18,no,13,4.17,7.23,55.8,58.7,0.05,no,16,2023-09-04T01:45:07,0.3093,b3cae7c74-475b-ec46-b2d3-6c478cd6a436,TFCCTF{219787000_hanstholm_04.09.2023_01:45_AM_55.8},
0.0036,RONIDA,512002264,NZL,TRAWLERS,TIMARU,43,72,52,no,12,4.88,6.82,61.7,67.7,0.0881,no,6,2023-09-06T17:00:32,0.0631,363c9a7f3-37af-24d6-cd5f-3385b91e3112,TFCCTF{512002264_timaru_06.09.2023_05:00_PM_61.7},
0.0027,NICHOLE,367556830,USA,TRAWLERS,KODIAK,59,86,75,no,12,4.23,6.08,47.7,45.8,0.041,no,7,2023-09-05T22:34:47,0.2262,0dd6d3f1c-c7a1-9941-04a4-78ac52c15b48,TFCCTF{367556830_kodiak_05.09.2023_10:34_PM_47.7},
0.0022,SOVEREIGNTY,366899520,USA,TRAWLERS,AKUTAN,72,56,30,no,12,4.02,8.88,66.1,62.8,0.05,no,11,2023-09-02T12:13:29,0.4621,3740893ee-e0e5-d8e7-d180-3f138ae4bf3f,TFCCTF{366899520_akutan_02.09.2023_12:13_PM_66.1},
