score,name,mmsi,flag,geartype,dep_port,n_pv,n_fish,n_fish_sep,single_prior,prior_30d,gap_h,kn,km_calc,km_gfw,agree,exact1dp,namelen,fish_start,rank,vid,flag_calc,err
0.1235,MFV LAVERNE,601974000,ZAF,TRAWLERS,CAPE TOWN,11,136,103,no,1,6.62,6.26,76.8,71.8,0.0641,no,10,2023-09-05T01:53:28,0.1496,5bd18e9f5-5d60-529e-bfd2-36df3e08571b,TFCCTF{601974000_cape town_05.09.2023_01:53_AM_76.8},
0.1167,ARGENOVA 25,701006471,ARG,TRAWLERS,PUERTO DESEADO,12,149,85,no,1,12.41,8.5,195.3,194.1,0.0063,no,10,2023-09-02T15:37:06,0.8144,7651e8410-0fb1-0f16-2a14-0e22689c3452,TFCCTF{701006471_puerto deseado_02.09.2023_03:37_PM_195.3},
0.1167,YUEHUILAIYU43546,412466868,CHN,TRAWLERS,SHENQUAN,3,38,19,no,2,4.09,8.17,61.9,59.0,0.0476,no,16,2023-09-05T18:25:39,0.4253,cac116212-2bdb-6862-5921-c2d2e5b00ffa,TFCCTF{412466868_shenquan_05.09.2023_06:25_PM_61.9},
0.1167,MRTK-1129,273454540,RUS,TRAWLERS,MURMANSK,12,18,11,no,1,19.55,8.54,309.0,286.3,0.0735,no,9,2023-09-09T04:12:06,0.2314,4772a67b7-74de-85a2-ab87-2ec342fa9274,TFCCTF{273454540_murmansk_09.09.2023_04:12_AM_309.0},
0.1167,96888,413896888,CHN,TRAWLERS,YANGJIANG,3,49,35,no,1,8.07,6.68,99.8,94.0,0.0578,no,5,2023-09-04T15:06:56,0.2117,43679dc70-0992-34df-f921-f27364752e8b,TFCCTF{413896888_yangjiang_04.09.2023_03:06_PM_99.8},
0.1167,123,419999968,IND,TRAWLERS,YANGJIANG,3,51,36,no,1,15.89,6.23,183.2,167.5,0.0862,no,3,2023-09-05T08:01:16,0.0569,1bb64096a-a8f9-52ee-581e-4327b44a786f,TFCCTF{419999968_yangjiang_05.09.2023_08:01_AM_183.2},
0.1167,010,810810888,,TRAWLERS,YANGJIANG,3,30,23,no,1,10.6,6.03,118.3,107.4,0.0927,no,3,2023-09-06T10:22:40,0.0273,7bd06e4ad-d988-81ae-79b5-623e7cf26684,TFCCTF{810810888_yangjiang_06.09.2023_10:22_AM_118.3},
0.1105,COSTA NEVES II CN,710462738,BRA,TRAWLERS,RIO GRANDE,13,82,48,no,1,11.93,7.4,163.5,149.2,0.0874,no,14,2023-09-01T08:22:15,0.0826,ecca3b54c-cf93-8f4d-2f11-75bdad07b309,TFCCTF{710462738_rio grande_01.09.2023_08:22_AM_163.5},
0.105,ARGENOVA II,701000546,ARG,TRAWLERS,PUERTO DESEADO,14,148,88,no,1,16.51,8.44,258.1,247.4,0.0412,no,10,2023-09-04T06:13:20,0.5046,414df2e9f-f0ff-4fe6-6d10-dc84b522d937,TFCCTF{701000546_puerto deseado_04.09.2023_06:13_AM_258.1},
0.0955,ARBUMASA XV,701000708,ARG,TRAWLERS,PUERTO DESEADO,16,149,89,no,1,13.64,9.67,244.4,233.0,0.0465,no,10,2023-09-08T19:44:26,0.5319,03d12278a-a35b-ce50-918b-673e1bca4940,TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_244.4},
0.0955,ZHEPUYU12887,412411283,CHN,TRAWLERS,NINGBO,5,102,76,no,2,5.63,6.32,65.9,65.2,0.0104,no,12,2023-09-04T12:34:38,0.3837,efe76c3f0-0df5-7baf-bf1b-3a4811336888,TFCCTF{412411283_ningbo_04.09.2023_12:34_PM_65.9},
0.0955,YUEHUILAIYU43043,412466437,CHN,TRAWLERS,SHENQUAN,5,52,33,no,2,4.49,8.2,68.2,64.1,0.0595,no,16,2023-09-06T05:11:28,0.3305,a512fa93d-d446-c45e-5cf2-66595ab6304a,TFCCTF{412466437_shenquan_06.09.2023_05:11_AM_68.2},
0.0955,ZHUWAN3991,412529248,CHN,TRAWLERS,HONGKONG,5,69,53,no,2,8.9,6.75,111.2,105.9,0.0482,no,10,2023-09-04T21:05:12,0.2675,d1ebb2123-343c-c172-be61-dca3b7391f1d,TFCCTF{412529248_hongkong_04.09.2023_09:05_PM_111.2},
0.0955,YUEHUILAIYU43100,412466244,CHN,TRAWLERS,SHENQUAN,5,69,52,no,2,4.98,6.28,58.0,52.8,0.0896,no,16,2023-09-05T18:21:56,0.0439,ddedb32d8-8365-4bf5-e687-25c717149a9b,TFCCTF{412466244_shenquan_05.09.2023_06:21_PM_58.0},
0.0955,YUEHUILAIYU43439,412466307,CHN,TRAWLERS,SHENQUAN,5,56,37,no,2,5.78,6.79,72.7,65.7,0.0967,no,16,2023-09-06T06:11:04,0.0175,229ae9e3e-eb4f-f62a-ed0a-d26ee754fb36,TFCCTF{412466307_shenquan_06.09.2023_06:11_AM_72.7},
0.0913,MARIA GRACIA,701000725,ARG,TRAWLERS,MAR DEL PLATA,17,63,53,no,1,5.9,7.14,78.0,84.3,0.0747,no,11,2023-09-03T19:57:39,0.1521,32d7c7afc-c4e1-28a4-f10a-3a517a2828b1,TFCCTF{701000725_mar del plata_03.09.2023_07:57_PM_78.0},
0.0875,CARAPAU1,659424000,NAM,TRAWLERS,WALVIS BAY,6,1,1,no,2,10.3,7.05,134.4,128.8,0.0422,no,8,2023-09-30T06:31:01,0.3356,b37ff6f7d-df54-28f9-c352-354822bc9327,TFCCTF{659424000_walvis bay_30.09.2023_06:31_AM_134.4},
0.0875,YUEHUILAIYU43550,412466272,CHN,TRAWLERS,SHENQUAN,6,68,43,no,2,6.16,6.41,73.1,70.0,0.0424,no,16,2023-09-06T06:09:41,0.2575,6f56f997e-ec17-7fe7-5633-70690d641326,TFCCTF{412466272_shenquan_06.09.2023_06:09_AM_73.1},
0.0875,ZHEPUYU64349,412423317,CHN,TRAWLERS,NINGBO,6,82,49,no,2,5.96,6.61,73.0,68.3,0.0643,no,12,2023-09-04T12:50:28,0.1744,a436f0ee2-2677-5c13-6fd7-b41614612c2c,TFCCTF{412423317_ningbo_04.09.2023_12:50_PM_73.0},
0.0875,ZHU XIANG 1768,412468425,CHN,TRAWLERS,HONGKONG,6,52,40,no,2,10.31,6.06,115.7,105.9,0.0851,no,12,2023-09-04T22:34:59,0.0567,c5e4e2abf-fb5d-9526-fa91-f149d8dee041,TFCCTF{412468425_hongkong_04.09.2023_10:34_PM_115.7},
0.0875,YUEHUILAIYU43492,412466416,CHN,TRAWLERS,SHENQUAN,6,53,31,no,2,4.41,7.6,62.1,55.9,0.099,no,16,2023-09-05T18:14:33,0.007,8f41f788b-b35d-9bb8-1f1d-ed1d42327d7e,TFCCTF{412466416_shenquan_05.09.2023_06:14_PM_62.1},
0.084,EXECUTIONER,316031783,CAN,TRAWLERS,ST JOHN'S,19,71,27,no,1,19.26,7.94,283.2,282.3,0.0032,no,11,2023-09-25T13:16:14,0.7422,ee758e369-9482-9f54-0f6e-0f000204a974,TFCCTF{316031783_st john's_25.09.2023_01:16_PM_283.2},
0.0808,YUEHUILAIYU43585,412466475,CHN,TRAWLERS,SHENQUAN,7,57,38,no,2,4.92,6.4,58.3,58.4,0.0003,no,16,2023-09-06T04:58:13,0.4446,03e6b5def-f698-6132-cf5f-a16df3cf0ff8,TFCCTF{412466475_shenquan_06.09.2023_04:58_AM_58.3},
0.0808,YUEHUILAIYU43152,412466349,CHN,TRAWLERS,SHENQUAN,7,64,46,no,2,4.55,7.16,60.3,58.5,0.0295,no,16,2023-09-06T04:53:33,0.4259,6cf6d5a63-35be-b762-3111-4025782f811c,TFCCTF{412466349_shenquan_06.09.2023_04:53_AM_60.3},
0.075,YUEHUILAIYU43036,412466464,CHN,TRAWLERS,SHENQUAN,8,54,38,no,2,4.22,6.6,51.6,51.8,0.0044,no,16,2023-09-06T05:08:11,0.4634,56fc3274b-b851-e371-67e4-838307a62ec0,TFCCTF{412466464_shenquan_06.09.2023_05:08_AM_51.6},
0.075,YUEHUILAIYU43715,412466446,CHN,TRAWLERS,SHENQUAN,8,42,24,no,2,5.86,6.95,75.4,72.4,0.0406,no,16,2023-09-16T14:26:57,0.332,8b233068f-f51d-45f4-704d-b14ff1b8daf7,TFCCTF{412466446_shenquan_16.09.2023_02:26_PM_75.4},
0.075,YUEHUILAIYU41346,412466645,CHN,TRAWLERS,SHENQUAN,8,85,62,no,2,4.92,6.9,63.0,57.2,0.0916,no,16,2023-09-05T17:54:07,0.046,3bef4cb34-4ddd-e2c3-b7fc-90972291bace,TFCCTF{412466645_shenquan_05.09.2023_05:54_PM_63.0},
0.07,YUEJIANGCHENGYU90691,412483686,CHN,TRAWLERS,YANGJIANG,9,10,8,no,2,5.06,9.09,85.2,79.9,0.0618,no,20,2023-09-09T21:05:40,0.3625,36c7a490a-a159-56fc-f347-068cd26bffce,TFCCTF{412483686_yangjiang_09.09.2023_09:05_PM_85.2},
0.07,YUEXINHUIYU02162,412462593,CHN,TRAWLERS,ZHUHAI,9,34,24,no,2,5.64,9.57,99.9,90.3,0.0958,no,16,2023-09-04T22:43:14,0.0411,5a9ec7f3c-c295-62c2-9d6d-b956590494be,TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_99.9},
0.0656,RI CHUN NO.168,416001995,TWN,TRAWLERS,KEELUNG,10,9,7,no,2,5.19,8.95,86.0,79.1,0.0811,no,12,2023-09-06T07:32:13,0.176,e5b40643e-ec50-899e-c3bf-2c0f0717bcf4,TFCCTF{416001995_keelung_06.09.2023_07:32_AM_86.0},
0.0656,GUIBEIYU88062,412502368,CHN,TRAWLERS,ZHUHAI,10,22,18,no,2,4.78,11.6,102.8,112.9,0.0892,no,13,2023-09-04T10:58:42,0.0917,d04f42002-248a-b583-a30c-adca81f36fac,TFCCTF{412502368_zhuhai_04.09.2023_10:58_AM_102.8},
0.0636,JUPITER,701000924,ARG,TRAWLERS,MAR DEL PLATA,27,57,42,no,1,6.98,9.03,116.7,112.0,0.0408,no,7,2023-09-08T21:31:26,0.5581,e522cd611-1c79-bca2-3e04-c1cdb57e662a,TFCCTF{701000924_mar del plata_08.09.2023_09:31_PM_116.7},
0.0618,BLAENGUR,251063000,ISL,TRAWLERS,NESKAUPSTADUR,11,226,160,no,2,5.32,11.24,110.8,112.2,0.0119,no,8,2023-09-02T03:29:14,0.8,0a99c941d-dfcc-be43-c589-e1070728b268,TFCCTF{251063000_neskaupstadur_02.09.2023_03:29_AM_110.8},
0.0594,F.V. OCEAN PIONEER,512392000,NZL,TRAWLERS,BLUFF,16,101,98,no,1,38.59,7.03,502.7,491.1,0.0231,no,16,2023-09-01T20:04:26,0.4435,41a98a2e0-0fbb-3d26-4b71-6d4266443a82,TFCCTF{512392000_bluff_01.09.2023_08:04_PM_502.7},
0.0583,EHANGA BAY,659398000,NAM,TRAWLERS,WALVIS BAY,12,102,54,no,2,9.67,9.37,167.9,164.7,0.0187,no,9,2023-09-04T01:34:05,0.7937,b8197090b-b53f-05ca-d890-9a8bfcd6af18,TFCCTF{659398000_walvis bay_04.09.2023_01:34_AM_167.9},
0.0583,YUEHUILAIYU43503,412466487,CHN,TRAWLERS,SHENQUAN,6,52,37,no,3,4.22,8.19,64.0,61.2,0.0436,no,16,2023-09-06T04:42:21,0.4598,4f053242b-b82b-a434-0844-2521f3be9e8f,TFCCTF{412466487_shenquan_06.09.2023_04:42_AM_64.0},
0.0583,KAPA,273291820,RUS,TRAWLERS,MURMANSK,12,14,9,no,1,21.76,8.23,331.7,308.4,0.0702,no,4,2023-09-16T22:00:45,0.245,5bdd133ca-a1a2-d1a4-bf38-bcdacc1c85b7,TFCCTF{273291820_murmansk_16.09.2023_10:00_PM_331.7},
0.0583,SIR ELDON,316002570,CAN,TRAWLERS,MAKKOVIK,12,38,12,no,2,7.97,6.4,94.5,89.6,0.0518,no,8,2023-09-02T06:54:19,0.2149,a85ba1411-1cb2-7e45-2bef-ba7a4373589c,TFCCTF{316002570_makkovik_02.09.2023_06:54_AM_94.5},
0.0583,OTTER BANK F/V,228425700,FRA,TRAWLERS,TORSHAVN,12,41,41,no,2,4.38,10.76,87.2,80.0,0.0832,no,12,2023-09-04T21:22:40,0.162,b17b91951-1c99-a7ee-d930-86a4865e34f0,TFCCTF{228425700_torshavn_04.09.2023_09:22_PM_87.2},
0.0583,YUEHUILAIYU43044,412466982,CHN,TRAWLERS,SHENQUAN,6,52,36,no,3,4.19,7.63,59.3,54.5,0.0808,no,16,2023-09-05T18:29:43,0.1355,eda916f94-43ab-4a60-4efb-6a0fb6dd2451,TFCCTF{412466982_shenquan_05.09.2023_06:29_PM_59.3},
0.0553,YIH HORNG YU NO1,416000676,TWN,TRAWLERS,KAOHSIUNG,13,66,39,no,2,4.9,8.61,78.0,78.7,0.0082,no,13,2023-09-26T06:54:54,0.8135,3ecf1bafd-d21d-70a5-1f8a-7ec18c172cfb,TFCCTF{416000676_kaohsiung_26.09.2023_06:54_AM_78.0},
0.0553,TUNGA,659390000,NAM,TRAWLERS,WALVIS BAY,13,70,34,no,1,7.61,9.09,128.1,130.7,0.0196,no,5,2023-09-29T01:48:09,0.764,49ecc2adb-b099-af29-358e-f8faccbf3227,TFCCTF{659390000_walvis bay_29.09.2023_01:48_AM_128.1},
0.0553,ZAMBEZI,659245000,NAM,TRAWLERS,WALVIS BAY,13,28,19,no,2,6.41,10.09,119.9,125.0,0.0409,no,7,2023-09-01T03:30:00,0.5903,3bde07f86-662d-bc20-5b41-076d567e0fee,TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_119.9},
0.0553,SILVER ANGEL,316009550,CAN,TRAWLERS,PUBNICO,13,28,15,no,2,9.88,8.21,150.2,137.7,0.0836,no,11,2023-09-11T10:00:19,0.1338,466132b3d-db14-32f1-28c2-6543e4bb5c1e,TFCCTF{316009550_pubnico_11.09.2023_10:00_AM_150.2},
0.0538,YUEHUILAIYU43358,412466397,CHN,TRAWLERS,SHENQUAN,7,43,27,no,3,4.21,9.44,73.6,68.8,0.0656,no,16,2023-09-06T04:49:42,0.3379,55b79e9cc-c843-eb5b-087e-edf887133ffc,TFCCTF{412466397_shenquan_06.09.2023_04:49_AM_73.6},
0.0525,ARGENOVA X,701000950,ARG,TRAWLERS,PUERTO DESEADO,14,136,88,no,2,10.93,9.57,193.8,181.6,0.0629,no,9,2023-09-02T14:43:24,0.3664,a665db779-9536-53d1-836d-0d1df7630434,TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_193.8},
0.0525,P0NTA D0 GRAVATA,711616004,,TRAWLERS,RIO GRANDE,14,74,50,no,2,13.18,6.3,153.8,145.0,0.0576,no,14,2023-09-01T04:35:56,0.1805,63ab39c06-6ea1-221b-40b2-620fa30ec7b1,TFCCTF{711616004_rio grande_01.09.2023_04:35_AM_153.8},
0.05,JUAN ALVAREZ,701006059,ARG,TRAWLERS,PUERTO MADRYN,15,148,91,no,2,9.22,8.48,144.9,141.7,0.0219,no,11,2023-09-01T10:35:57,0.6762,45817e754-46d9-142a-6ea8-c773a002b2e8,TFCCTF{701006059_puerto madryn_01.09.2023_10:35_AM_144.9},
0.05,YUEHUILAIYU43571,412466746,CHN,TRAWLERS,SHENQUAN,8,65,44,no,3,4.31,7.37,58.8,58.0,0.0137,no,16,2023-09-06T04:33:11,0.5593,3b9d42b41-1d94-8035-3485-ec502ac36f1a,TFCCTF{412466746_shenquan_06.09.2023_04:33_AM_58.8},
0.05,YUEHUILAIYU48151,412466614,CHN,TRAWLERS,SHENQUAN,8,55,41,no,3,4.08,7.28,55.0,56.7,0.0307,no,16,2023-09-06T04:44:22,0.4371,adb4d308c-c124-6e54-8b8a-dfe29c07c50c,TFCCTF{412466614_shenquan_06.09.2023_04:44_AM_55.0},
0.05,YUEHUILAIYU41005,412466977,CHN,TRAWLERS,SHENQUAN,8,63,47,no,3,4.02,7.14,53.1,49.9,0.0601,no,16,2023-09-06T09:45:02,0.2387,8e8c63e86-6f21-6b3f-1ce0-0dd990a01e44,TFCCTF{412466977_shenquan_06.09.2023_09:45_AM_53.1},
0.05,YUEHUILAIYU43456,412466571,CHN,TRAWLERS,SHENQUAN,8,79,61,no,3,5.37,6.12,60.9,54.9,0.0983,no,16,2023-09-05T17:45:18,0.0067,e8068428a-a0b1-289b-7291-5c0b751f9a57,TFCCTF{412466571_shenquan_05.09.2023_05:45_PM_60.9},
0.0477,HEYKUR,231030000,FRO,TRAWLERS,TOFTIR,16,64,43,no,2,7.32,7.27,98.5,93.2,0.0537,no,6,2023-09-04T04:46:46,0.2899,677a1d194-463d-7c79-c8f5-8593b88b39af,TFCCTF{231030000_toftir_04.09.2023_04:46_AM_98.5},
0.0457,SALVADOR R,701006409,ARG,TRAWLERS,MAR DEL PLATA,17,74,51,no,2,16.46,6.87,209.3,208.4,0.0044,no,9,2023-09-08T07:31:11,0.5178,3e1948598-8f20-eab0-184e-0325bada32a0,TFCCTF{701006409_mar del plata_08.09.2023_07:31_AM_209.3},
0.0437,NANNY BESSIE,316023983,CAN,TRAWLERS,LOUISBURG,10,49,30,no,3,7.9,9.82,143.7,145.9,0.015,no,11,2023-09-09T07:16:07,0.8478,712a8bb75-53b2-e3e1-0c39-4821d497e041,TFCCTF{316023983_louisburg_09.09.2023_07:16_AM_143.7},
0.0437,FALKUR,231031000,FRO,TRAWLERS,TOFTIR,18,51,36,no,2,6.02,8.97,100.0,97.4,0.0257,no,6,2023-09-04T03:36:21,0.6951,2878ed7b9-908a-4097-e2aa-26964ff8017e,TFCCTF{231031000_toftir_04.09.2023_03:36_AM_100.0},
0.0437,ZHEPUYU19226,412422281,CHN,TRAWLERS,NINGBO,10,84,58,no,3,4.28,6.95,55.1,51.5,0.0653,no,12,2023-09-03T18:30:54,0.1935,c3b90c304-4fdb-5618-522f-1b843f8bb5b6,TFCCTF{412422281_ningbo_03.09.2023_06:30_PM_55.1},
0.042,DON GAETANO,701030000,ARG,TRAWLERS,MAR DEL PLATA,19,58,45,no,2,15.74,7.3,212.6,213.4,0.0037,no,10,2023-09-02T12:29:19,0.6094,a1ac1212d-d59b-d352-b4a0-048f0b0b72e6,TFCCTF{701030000_mar del plata_02.09.2023_12:29_PM_212.6},
0.042,CARMELLE 6,316005460,CAN,TRAWLERS,PUBNICO,19,69,44,no,2,11.12,7.04,145.1,140.5,0.0317,no,9,2023-09-02T11:54:14,0.3956,dd3c946d6-64ed-5f36-41bb-35d86bc897da,TFCCTF{316005460_pubnico_02.09.2023_11:54_AM_145.1},
0.0412,DOM LUCAS S,9121314,,TRAWLERS,ITAJAI,11,50,39,no,3,4.69,7.4,64.3,62.7,0.0251,no,9,2023-09-02T00:26:27,0.4908,6ead13640-0bba-b82b-944f-ec196e50d12d,TFCCTF{9121314_itajai_02.09.2023_12:26_AM_64.3},
0.0412,BAQUEIRO,224324000,ESP,TRAWLERS,CASTLETOWN BEARHAVEN,11,63,39,no,3,9.32,9.55,164.8,176.8,0.0682,no,8,2023-09-04T09:19:06,0.3137,554cb8562-23c2-510a-0686-fd68d007a5c5,TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_164.8},
0.0389,GUI HE YU 82866,412501087,CHN,TRAWLERS,YANGJIANG,12,62,48,no,3,7.91,6.44,94.3,88.0,0.0673,no,12,2023-09-04T16:33:16,0.1481,3616f04c7-774c-d9bd-b0c4-7a88feaad45e,TFCCTF{412501087_yangjiang_04.09.2023_04:33_PM_94.3},
0.0375,40038,250400442,IRL,TRAWLERS,ZHUHAI,8,55,42,no,2,5.4,11.07,110.8,115.1,0.0378,no,5,2023-09-04T11:41:26,0.579,dfd3507ab-b1af-cd03-653f-9dadb7026885,TFCCTF{250400442_zhuhai_04.09.2023_11:41_AM_110.8},
0.035,FISHER BANK,659275000,NAM,TRAWLERS,WALVIS BAY,14,55,19,no,3,7.0,9.77,126.6,125.1,0.0112,no,10,2023-09-01T04:27:43,0.8854,e04691b47-73aa-3d8a-5261-b838d8bbba9a,TFCCTF{659275000_walvis bay_01.09.2023_04:27_AM_126.6},
0.035,ARBUMASA X,701000720,ARG,TRAWLERS,PUERTO DESEADO,14,110,66,no,3,13.84,9.24,236.9,234.3,0.0106,no,9,2023-09-02T01:30:06,0.862,57063c950-0272-9fea-9475-f0344f27438e,TFCCTF{701000720_puerto deseado_02.09.2023_01:30_AM_236.9},
0.035,KOMUKANDI,659218000,NAM,TRAWLERS,WALVIS BAY,14,106,56,no,3,6.75,9.06,113.2,120.2,0.0582,no,9,2023-09-01T01:13:14,0.3951,2c072db60-0d00-c4f4-91ce-9c19be9a9c22,TFCCTF{659218000_walvis bay_01.09.2023_01:13_AM_113.2},
0.0333,ARGENOVA 4,701000549,ARG,TRAWLERS,PUERTO DESEADO,15,154,94,no,3,17.31,8.24,264.1,248.2,0.0604,no,9,2023-09-04T05:36:25,0.3265,b977de2bb-b32d-d7af-18c9-52d71868a6e3,TFCCTF{701000549_puerto deseado_04.09.2023_05:36_AM_264.1},
0.0333,LULAIZHOUYU66077,412330986,CHN,TRAWLERS,LUSHAN,15,13,13,no,3,5.42,7.05,70.8,67.3,0.0488,no,16,2023-09-13T15:13:52,0.2968,a49f31abe-e231-d457-0bc0-6d231a29bdc2,TFCCTF{412330986_lushan_13.09.2023_03:13_PM_70.8},
0.0323,YUEHUILAIYU41118,412466596,CHN,TRAWLERS,SHENQUAN,7,15,2,no,5,4.82,6.07,54.2,53.9,0.007,no,16,2023-09-06T05:31:29,0.3545,abe609d98-87ae-6a4e-2d6e-87144391d4d1,TFCCTF{412466596_shenquan_06.09.2023_05:31_AM_54.2},
