score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.631,FISHING,MIN SHI YU 07263,412452724,CHN,yuhuan,174.4,132.0,9.1,10.4,2023-09-04T04:05:58.000Z,2023-09-04T14:28:52.000Z,,,9145ac651-154e-1d9b-44c0-6aed44c29837,TFCCTF{412452724_yuhuan_04.09.2023_02:28_PM_174.4}
0.631,TRAWLERS,DON GAETANO,701030000,ARG,mar del plata,212.6,213.4,7.3,15.7,2023-09-01T20:45:03.000Z,2023-09-02T12:29:19.000Z,,,a1ac1212d-d59b-d352-b4a0-048f0b0b72e6,TFCCTF{701030000_mar del plata_02.09.2023_12:29_PM_212.6}
0.63,FISHING,ZHEYUYU32881,412415598,CHN,ningbo,302.5,276.9,7.6,21.6,2023-09-04T07:28:03.000Z,2023-09-05T05:04:57.000Z,,,6a65ccc58-89b8-ef70-9bd2-322cc5add11b,TFCCTF{412415598_ningbo_05.09.2023_05:04_AM_302.5}
0.63,TRAWLERS,ZENITH,273211440,RUS,kirkenes,479.4,315.2,10.8,23.9,2023-09-05T05:40:30.000Z,2023-09-06T05:35:38.000Z,,,980a28ad3-3ca9-e1bd-6b00-3c508d5b643c,TFCCTF{273211440_kirkenes_06.09.2023_05:35_AM_479.4}
0.629,TRAWLERS,ZHELINGYU23808,412418974,CHN,taizhou,397.7,251.7,9.7,22.1,2023-09-04T09:25:21.000Z,2023-09-05T07:33:08.000Z,,,157c3c5bd-d54d-1c45-c6f9-ba683e8b6a56,TFCCTF{412418974_taizhou_05.09.2023_07:33_AM_397.7}
0.628,TRAWLERS,ZHELINGYU15018,412419444,CHN,taizhou,285.5,218.8,8.2,18.8,2023-09-04T17:41:20.000Z,2023-09-05T12:26:40.000Z,,,80dbc6503-3b8b-5c59-6bcc-547a3237da6b,TFCCTF{412419444_taizhou_05.09.2023_12:26_PM_285.5}
0.628,TRAWLERS,ZHELINGYU23549,412416711,CHN,taizhou,269.1,177.4,10.9,13.4,2023-09-16T08:57:19.000Z,2023-09-16T22:18:26.000Z,,,04878c5b3-36bb-d804-dfd6-cef4eb428a62,TFCCTF{412416711_taizhou_16.09.2023_10:18_PM_269.1}
0.628,TRAWLERS,HARVEST GAVINA,601232000,ZAF,saldanha bay,142.7,131.9,12.0,6.4,2023-08-31T23:16:23.000Z,2023-09-01T05:40:51.000Z,,,5e759fd6b-b6dd-9175-c5fa-5acab04f9de6,TFCCTF{601232000_saldanha bay_01.09.2023_05:40_AM_142.7}
0.627,TRAWLERS,ZHELINGYU26891,412416903,CHN,taizhou,455.4,298.3,9.2,26.8,2023-09-16T08:24:53.000Z,2023-09-17T11:14:56.000Z,,,9d197caab-b27f-7af8-f08f-4d11e214db2f,TFCCTF{412416903_taizhou_17.09.2023_11:14_AM_455.4}
0.626,TRAWLERS,RI457 KIRSTEN FJORD,219793000,DNK,hvide sande,112.7,108.7,8.7,7.0,2023-09-03T22:55:08.000Z,2023-09-04T05:56:19.000Z,,,a669c93c0-0a7f-0946-7ac9-9960ad3c4b73,TFCCTF{219793000_hvide sande_04.09.2023_05:56_AM_112.7}
0.625,TRAWLERS,ZHELINGYU23923,412417902,CHN,taizhou,269.5,169.7,10.3,14.1,2023-09-16T09:11:55.000Z,2023-09-16T23:17:00.000Z,,,2fd88ed96-65f1-e296-6cf9-44a8d8906ed7,TFCCTF{412417902_taizhou_16.09.2023_11:17_PM_269.5}
0.625,DREDGE_FISHING,SEA WATCHER II,367788350,USA,new bedford,237.5,154.7,10.8,11.9,2023-09-03T22:45:02.000Z,2023-09-04T10:36:25.000Z,,,b55b1fc75-5ca4-e97b-7e71-e40ed228c37a,TFCCTF{367788350_new bedford_04.09.2023_10:36_AM_237.5}
0.625,TUNA_PURSE_SEINES,PLAYA DE NOJA,224531000,ESP,dakar,422.7,264.2,10.0,22.9,2023-09-23T07:51:58.000Z,2023-09-24T06:48:17.000Z,,,472962590-0e8b-947d-3f92-4a00e908d511,TFCCTF{224531000_dakar_24.09.2023_06:48_AM_422.7}
0.625,TRAWLERS,ZHELINGYU23639,412418999,CHN,taizhou,280.7,183.6,10.9,14.0,2023-09-16T08:33:38.000Z,2023-09-16T22:31:03.000Z,,,a8e8cf6b9-9f06-248e-12f5-6fa1136f6129,TFCCTF{412418999_taizhou_16.09.2023_10:31_PM_280.7}
0.623,DRIFTING_LONGLINES,IMULA 0702 NBO,417070231,LKA,negombo,142.7,119.9,11.1,6.9,2023-09-05T22:45:20.000Z,2023-09-06T05:41:48.000Z,,,370042b0f-f421-86dd-afca-6408f343dee2,TFCCTF{417070231_negombo_06.09.2023_05:41_AM_142.7}
0.623,TRAWLERS,ZHERUIYU13041,412431517,CHN,ruian,304.7,193.4,9.5,17.4,2023-09-16T03:35:11.000Z,2023-09-16T20:59:17.000Z,,,acfcaa7e3-349a-f6fb-d680-82f27f930d5e,TFCCTF{412431517_ruian_16.09.2023_08:59_PM_304.7}
0.622,FISHING,SUQIYU03633,412352261,CHN,lusi,309.2,195.4,10.5,15.9,2023-09-15T14:07:57.000Z,2023-09-16T06:02:53.000Z,,,1f63cc1c2-2266-c2b4-87bd-3816a3fb4c95,TFCCTF{412352261_lusi_16.09.2023_06:02_AM_309.2}
0.622,TRAWLERS,ZHERUIYU01301,412431751,CHN,ruian,329.0,206.7,10.4,17.1,2023-09-16T03:45:26.000Z,2023-09-16T20:50:33.000Z,,,84c1a4334-4694-3141-282a-2540c6b793e1,TFCCTF{412431751_ruian_16.09.2023_08:50_PM_329.0}
0.621,TRAWLERS,ZHERUIYU01206,412431767,CHN,ruian,331.9,206.6,9.8,18.3,2023-09-16T03:50:56.000Z,2023-09-16T22:07:47.000Z,,,6bad1f450-0ca1-1975-1d99-fcf257160b4f,TFCCTF{412431767_ruian_16.09.2023_10:07_PM_331.9}
0.62,DRIFTING_LONGLINES,IMULA 0324 NBO,417032431,LKA,colombo,166.9,162.8,7.3,12.3,2023-09-21T21:14:06.000Z,2023-09-22T09:33:53.000Z,,,0f0851605-5d54-94f5-d94a-05ea1512a404,TFCCTF{417032431_colombo_22.09.2023_09:33_AM_166.9}
0.62,TRAWLERS,ZHELINGYU29843,412416821,CHN,taizhou,275.2,185.3,11.1,13.3,2023-09-16T08:36:51.000Z,2023-09-16T21:56:37.000Z,,,764609739-9c4d-4888-f577-58f87292db2a,TFCCTF{412416821_taizhou_16.09.2023_09:56_PM_275.2}
0.62,NA,ZHEDAIYU15367,900415367,,zhoushan,401.8,300.6,8.3,26.2,2023-09-03T04:38:17.000Z,2023-09-04T06:52:47.000Z,,,9cfaacdce-e337-31c1-a784-7a8487b3f960,TFCCTF{900415367_zhoushan_04.09.2023_06:52_AM_401.8}
0.62,TRAWLERS,ZHELINGYU78018,412419537,CHN,taizhou,324.1,272.2,12.2,14.3,2023-09-16T10:42:22.000Z,2023-09-17T01:02:34.000Z,,,629553428-8412-b9ae-fd3e-b79211e82da6,TFCCTF{412419537_taizhou_17.09.2023_01:02_AM_324.1}
0.62,FISHING,SUQIYU03633,412303633,CHN,lusi,309.3,192.3,10.2,16.3,2023-09-15T14:14:42.000Z,2023-09-16T06:33:45.000Z,,,9f7edd472-21f4-b018-6a71-ba86aa905904,TFCCTF{412303633_lusi_16.09.2023_06:33_AM_309.3}
